agent,participant,round,attempt_id,agent_step,attempt_recolor_step,state_before,region,old_color,new_color,source_step,is_final_attempt
human,5201314,10,2,19,6,3 0 3 3 0 2 0 0 1 1 3 2 2 2 0 1 1 3 0 3 1 2 2 1 0 0 0 0 1 2 0 2 2 1 1 1 0 0 1 0 3 3 1 3 2,10,3,2,123,False
human,5201314,10,2,20,7,3 0 3 3 0 2 0 0 1 1 2 2 2 2 0 1 1 3 0 3 1 2 2 1 0 0 0 0 1 2 0 2 2 1 1 1 0 0 1 0 3 3 1 3 2,31,2,0,124,False
human,5201314,10,2,21,8,3 0 3 3 0 2 0 0 1 1 2 2 2 2 0 1 1 3 0 3 1 2 2 1 0 0 0 0 1 2 0 0 2 1 1 1 0 0 1 0 3 3 1 3 2,25,0,1,125,False
human,5201314,10,2,22,9,3 0 3 3 0 2 0 0 1 1 2 2 2 2 0 1 1 3 0 3 1 2 2 1 0 1 0 0 1 2 0 0 2 1 1 1 0 0 1 0 3 3 1 3 2,34,1,2,126,False
human,5201314,10,2,23,10,3 0 3 3 0 2 0 0 1 1 2 2 2 2 0 1 1 3 0 3 1 2 2 1 0 1 0 0 1 2 0 0 2 1 2 1 0 0 1 0 3 3 1 3 2,44,2,1,127,False
human,5201314,10,2,24,11,3 0 3 3 0 2 0 0 1 1 2 2 2 2 0 1 1 3 0 3 1 2 2 1 0 1 0 0 1 2 0 0 2 1 2 1 0 0 1 0 3 3 1 3 1,26,0,2,128,False
human,5201314,10,2,25,12,3 0 3 3 0 2 0 0 1 1 2 2 2 2 0 1 1 3 0 3 1 2 2 1 0 1 2 0 1 2 0 0 2 1 2 1 0 0 1 0 3 3 1 3 1,32,2,0,129,False
human,5201314,10,2,26,13,3 0 3 3 0 2 0 0 1 1 2 2 2 2 0 1 1 3 0 3 1 2 2 1 0 1 2 0 1 2 0 0 0 1 2 1 0 0 1 0 3 3 1 3 1,11,2,0,130,False
human,5201314,10,2,27,14,3 0 3 3 0 2 0 0 1 1 2 0 2 2 0 1 1 3 0 3 1 2 2 1 0 1 2 0 1 2 0 0 0 1 2 1 0 0 1 0 3 3 1 3 1,30,0,3,131,False
human,5201314,10,2,28,15,3 0 3 3 0 2 0 0 1 1 2 0 2 2 0 1 1 3 0 3 1 2 2 1 0 1 2 0 1 2 3 0 0 1 2 1 0 0 1 0 3 3 1 3 1,40,3,1,132,False
human,5201314,10,2,29,16,3 0 3 3 0 2 0 0 1 1 2 0 2 2 0 1 1 3 0 3 1 2 2 1 0 1 2 0 1 2 3 0 0 1 2 1 0 0 1 0 1 3 1 3 1,14,0,2,133,False
human,5201314,10,2,30,17,3 0 3 3 0 2 0 0 1 1 2 0 2 2 2 1 1 3 0 3 1 2 2 1 0 1 2 0 1 2 3 0 0 1 2 1 0 0 1 0 1 3 1 3 1,34,2,0,134,False
human,5201314,16,1,31,1,3 2 1 0 3 1 3 2 3 1 0 1 3 2 2 3 0 3 2 0 3 2 2 0 1 3 3 1 0 3 3 2 0 1 2 3 2 0 0 2 3 0 3 0 0,29,3,1,193,False
human,5201314,16,1,32,2,3 2 1 0 3 1 3 2 3 1 0 1 3 2 2 3 0 3 2 0 3 2 2 0 1 3 3 1 0 1 3 2 0 1 2 3 2 0 0 2 3 0 3 0 0,35,3,0,194,False
human,5201314,16,1,33,3,3 2 1 0 3 1 3 2 3 1 0 1 3 2 2 3 0 3 2 0 3 2 2 0 1 3 3 1 0 1 3 2 0 1 2 0 2 0 0 2 3 0 3 0 0,35,0,1,195,False
human,5201314,20,1,34,1,0 1 3 2 0 2 3 1 2 2 2 0 1 2 2 2 1 0 3 0 3 1 3 3 3 3 2 1 1 2 0 3 3 3 1 2 2 0 2 3 1 1 3 0 2,5,2,1,247,False
human,5201314,20,1,35,2,0 1 3 2 0 1 3 1 2 2 2 0 1 2 2 2 1 0 3 0 3 1 3 3 3 3 2 1 1 2 0 3 3 3 1 2 2 0 2 3 1 1 3 0 2,14,2,0,248,False
human,5201314,20,1,36,3,0 1 3 2 0 1 3 1 2 2 2 0 1 2 0 2 1 0 3 0 3 1 3 3 3 3 2 1 1 2 0 3 3 3 1 2 2 0 2 3 1 1 3 0 2,26,2,0,249,False
human,5201314,20,1,37,4,0 1 3 2 0 1 3 1 2 2 2 0 1 2 0 2 1 0 3 0 3 1 3 3 3 3 0 1 1 2 0 3 3 3 1 2 2 0 2 3 1 1 3 0 2,14,0,1,250,False
human,5201314,20,1,38,5,0 1 3 2 0 1 3 1 2 2 2 0 1 2 1 2 1 0 3 0 3 1 3 3 3 3 0 1 1 2 0 3 3 3 1 2 2 0 2 3 1 1 3 0 2,34,1,3,251,False
human,5201314,20,1,39,6,0 1 3 2 0 1 3 1 2 2 2 0 1 2 1 2 1 0 3 0 3 1 3 3 3 3 0 1 1 2 0 3 3 3 3 2 2 0 2 3 1 1 3 0 2,23,3,1,252,False
human,5201314,20,1,40,7,0 1 3 2 0 1 3 1 2 2 2 0 1 2 1 2 1 0 3 0 3 1 3 1 3 3 0 1 1 2 0 3 3 3 3 2 2 0 2 3 1 1 3 0 2,23,1,2,253,False
human,5201314,20,1,41,8,0 1 3 2 0 1 3 1 2 2 2 0 1 2 1 2 1 0 3 0 3 1 3 2 3 3 0 1 1 2 0 3 3 3 3 2 2 0 2 3 1 1 3 0 2,35,2,3,254,False
human,5201314,20,1,42,9,0 1 3 2 0 1 3 1 2 2 2 0 1 2 1 2 1 0 3 0 3 1 3 2 3 3 0 1 1 2 0 3 3 3 3 3 2 0 2 3 1 1 3 0 2,8,2,0,255,False
human,5201314,20,1,43,10,0 1 3 2 0 1 3 1 0 2 2 0 1 2 1 2 1 0 3 0 3 1 3 2 3 3 0 1 1 2 0 3 3 3 3 3 2 0 2 3 1 1 3 0 2,17,0,2,256,False
human,5201314,20,1,44,11,0 1 3 2 0 1 3 1 0 2 2 0 1 2 1 2 1 2 3 0 3 1 3 2 3 3 0 1 1 2 0 3 3 3 3 3 2 0 2 3 1 1 3 0 2,17,2,1,257,False
human,5201314,20,1,45,12,0 1 3 2 0 1 3 1 0 2 2 0 1 2 1 2 1 1 3 0 3 1 3 2 3 3 0 1 1 2 0 3 3 3 3 3 2 0 2 3 1 1 3 0 2,16,1,2,258,False
human,5201314,20,1,46,13,0 1 3 2 0 1 3 1 0 2 2 0 1 2 1 2 2 1 3 0 3 1 3 2 3 3 0 1 1 2 0 3 3 3 3 3 2 0 2 3 1 1 3 0 2,35,3,2,259,False
human,5201314,20,1,47,14,0 1 3 2 0 1 3 1 0 2 2 0 1 2 1 2 2 1 3 0 3 1 3 2 3 3 0 1 1 2 0 3 3 3 3 2 2 0 2 3 1 1 3 0 2,35,2,1,260,False
human,5201314,20,1,48,15,0 1 3 2 0 1 3 1 0 2 2 0 1 2 1 2 2 1 3 0 3 1 3 2 3 3 0 1 1 2 0 3 3 3 3 1 2 0 2 3 1 1 3 0 2,17,1,0,261,False
human,5201314,21,1,49,1,0 2 2 3 1 2 3 3 3 1 0 2 2 1 1 1 3 2 1 1 0 0 3 3 0 3 0 0 3 1 1 1 2 1 2 1 0 2 0 2 2 3 2 0 3,34,2,3,271,False
human,5201314,21,1,50,2,0 2 2 3 1 2 3 3 3 1 0 2 2 1 1 1 3 2 1 1 0 0 3 3 0 3 0 0 3 1 1 1 2 1 3 1 0 2 0 2 2 3 2 0 3,31,1,3,272,False
human,5201314,30,1,51,1,3 0 1 2 0 0 3 0 0 1 0 0 3 1 2 0 1 3 1 3 3 3 1 0 3 1 0 3 0 2 2 2 2 1 3 2 2 1 0 3 3 3 0 2 2,14,2,3,380,False
human,5201314,30,2,52,1,3 0 1 2 0 0 3 0 0 1 0 0 3 1 2 0 1 3 1 3 3 3 1 0 3 1 0 3 0 2 2 2 2 1 3 2 2 1 0 3 3 3 0 2 2,26,0,1,382,False
human,5201314,30,2,53,2,3 0 1 2 0 0 3 0 0 1 0 0 3 1 2 0 1 3 1 3 3 3 1 0 3 1 1 3 0 2 2 2 2 1 3 2 2 1 0 3 3 3 0 2 2,28,0,2,383,False
human,5201314,30,2,54,3,3 0 1 2 0 0 3 0 0 1 0 0 3 1 2 0 1 3 1 3 3 3 1 0 3 1 1 3 2 2 2 2 2 1 3 2 2 1 0 3 3 3 0 2 2,32,2,0,384,False
human,5201314,30,2,55,4,3 0 1 2 0 0 3 0 0 1 0 0 3 1 2 0 1 3 1 3 3 3 1 0 3 1 1 3 2 2 2 2 0 1 3 2 2 1 0 3 3 3 0 2 2,4,0,1,385,False
human,5201314,30,2,56,5,3 0 1 2 1 0 3 0 0 1 0 0 3 1 2 0 1 3 1 3 3 3 1 0 3 1 1 3 2 2 2 2 0 1 3 2 2 1 0 3 3 3 0 2 2,9,1,2,386,False
human,5201314,30,2,57,6,3 0 1 2 1 0 3 0 0 2 0 0 3 1 2 0 1 3 1 3 3 3 1 0 3 1 1 3 2 2 2 2 0 1 3 2 2 1 0 3 3 3 0 2 2,35,2,0,387,False
human,5201314,30,2,58,7,3 0 1 2 1 0 3 0 0 2 0 0 3 1 2 0 1 3 1 3 3 3 1 0 3 1 1 3 2 2 2 2 0 1 3 0 2 1 0 3 3 3 0 2 2,35,0,1,388,False
human,5201314,30,2,59,8,3 0 1 2 1 0 3 0 0 2 0 0 3 1 2 0 1 3 1 3 3 3 1 0 3 1 1 3 2 2 2 2 0 1 3 1 2 1 0 3 3 3 0 2 2,37,1,2,389,False
