SessionID,Experiment,Round,attempt_id,is_final_attempt,end_reason,completed,start_step,end_step,n_rows,n_recolors,start_action_type,end_action_type,start_conflict_regions,end_conflict_regions,start_conflict_region_count,end_conflict_region_count,elapsed_time_s_all_rows,elapsed_time_s_recolors_only
5201314,experiment2,10,2,0,reset,0,117,134,18,17,round_reset,recolor,15 22 27 33 40 44,2 15 16 27 28 35 41 45,6,8,118.0,110.69999999999999
5201314,experiment2,10,3,1,completed,1,135,140,6,5,round_reset,recolor,15 22 27 33 40 44,,6,0,27.2,25.5
5201314,experiment2,11,1,1,completed,1,141,151,11,10,game_started,recolor,1 9 12 14 28 32 34 35 38 41,,10,0,66.4,66.4
5201314,experiment2,12,1,1,completed,1,152,159,8,7,game_started,recolor,4 6 7 14 21 26 27 37 41 45,,10,0,33.6,33.6
5201314,experiment2,13,1,1,completed,1,160,170,11,10,game_started,recolor,2 5 11 14 22 24 32 35 37 40,,10,0,45.9,45.9
5201314,experiment2,14,1,1,completed,1,171,183,13,12,game_started,recolor,1 8 10 14 20 24 31 32 37 38 45,,11,0,55.9,55.89999999999999
5201314,experiment2,15,1,1,completed,1,184,191,8,7,game_started,recolor,1 4 15 21 22 24 25 28 32 44,,10,0,33.2,33.2
5201314,experiment2,16,1,0,reset,0,192,195,4,3,game_started,recolor,1 5 7 9 16 21 26 27 29 30 31 36 41 42,5 6 7 9 16 21 26 27 28 29 30 31 36 41 42,14,15,17.9,17.9
5201314,experiment2,16,2,1,completed,1,196,204,9,8,round_reset,recolor,1 5 7 9 16 21 26 27 29 30 31 36 41 42,,14,0,52.199999999999996,49.9
5201314,experiment2,17,1,1,completed,1,205,229,25,24,game_started,recolor,4 12 15 18 19 20 24 25 31 32 34 35 37 38,,14,0,123.5,123.5
5201314,experiment2,18,1,1,completed,1,230,238,9,8,game_started,recolor,1 7 8 18 22 24 29 31 32 39,,10,0,38.0,38.0
5201314,experiment2,19,1,1,completed,1,239,245,7,6,game_started,recolor,7 11 19 22 24 26 33 41,,8,0,18.3,18.3
5201314,experiment2,20,1,0,reset,0,246,261,16,15,game_started,recolor,5 6 10 15 27 38 45,5 9 18 26 35 38,7,6,88.39999999999999,88.4
5201314,experiment2,20,2,1,completed,1,262,269,8,7,round_reset,recolor,5 6 10 15 27 38 45,,7,0,50.3,48.9
5201314,experiment2,21,1,0,reset,0,270,272,3,2,game_started,recolor,5 6 10 15 19 32 34 35 36,5 10 19 26 32,9,5,3.9,3.9
5201314,experiment2,21,2,1,completed,1,273,295,23,22,round_reset,recolor,5 6 10 15 19 32 34 35 36,,9,0,85.90000000000002,83.10000000000001
5201314,experiment2,22,1,1,completed,1,296,302,7,6,game_started,recolor,3 7 13 14 15 23 25 36 37 41 42 43 44,,13,0,42.0,42.0
5201314,experiment2,23,1,1,completed,1,303,312,10,9,game_started,recolor,7 13 14 18 30 31 40,,7,0,31.4,31.4
5201314,experiment2,24,1,1,completed,1,313,319,7,6,game_started,recolor,2 15 17 25 30 32 41,,7,0,24.0,24.0
5201314,experiment2,25,1,1,completed,1,320,332,13,12,game_started,recolor,5 8 11 12 16 29 32 36 37 38 39 40 42 43,,14,0,44.0,44.0
5201314,experiment2,26,1,1,completed,1,333,340,8,7,game_started,recolor,2 5 9 17 23 29 32 34 38 39 42,,11,0,20.8,20.799999999999997
5201314,experiment2,27,1,1,completed,1,341,350,10,9,game_started,recolor,1 6 7 10 29 30 41,,7,0,28.7,28.699999999999996
5201314,experiment2,28,1,1,completed,1,351,371,21,20,game_started,recolor,2 3 9 10 15 17 21 24 26 37 40 41 42,,13,0,69.5,69.5
5201314,experiment2,29,1,1,completed,1,372,378,7,6,game_started,recolor,7 8 14 21 32 35 42,,7,0,29.299999999999997,29.299999999999997
5201314,experiment2,30,1,0,reset,0,379,380,2,1,game_started,recolor,2 3 11 14 24 27 29 32 34 44,2 3 11 14 15 21 24 27 29 32 34 44,10,12,2.4,2.4
5201314,experiment2,30,2,0,reset,0,381,389,9,8,round_reset,recolor,2 3 11 14 24 27 29 32 34 44,2 3 9 11 14 24 32 33 34 38 44,10,11,21.700000000000003,20.0
5201314,experiment2,30,3,0,reset,0,390,390,1,0,round_reset,round_reset,2 3 11 14 24 27 29 32 34 44,2 3 11 14 24 27 29 32 34 44,10,10,0.6,0.0
5201314,experiment2,30,4,0,reset,0,391,391,1,0,round_reset,round_reset,2 3 11 14 24 27 29 32 34 44,2 3 11 14 24 27 29 32 34 44,10,10,0.4,0.0
5201314,experiment2,30,5,0,reset,0,392,392,1,0,round_reset,round_reset,2 3 11 14 24 27 29 32 34 44,2 3 11 14 24 27 29 32 34 44,10,10,0.2,0.0
5201314,experiment2,30,6,1,completed,1,393,403,11,10,round_reset,recolor,2 3 11 14 24 27 29 32 34 44,,10,0,58.49999999999999,58.3
